date,PM
2021-06-23,16
2021-06-24,10
2021-06-25,8
2021-06-26,10
2021-06-27,7
2021-06-28,7
2021-06-30,5
2021-06-30,10
2021-07-01,8
2021-07-02,6
2021-07-03,8
2021-07-04,12
2021-07-05,14
2021-07-06,7
2021-07-07,7
2021-07-08,4
2021-07-09,4
2021-07-10,4
2021-07-11,7
2021-07-12,8
2021-07-13,7
2021-07-14,9
2021-07-15,6
2021-07-16,6
2021-07-17,7
2021-07-18,9
2021-07-19,6
2021-07-20,5
2021-07-21,6
2021-07-22,9
2021-07-23,7
2021-07-24,4
2021-07-25,5
2021-07-26,7
2021-07-27,7
2021-07-28,9
2021-07-29,8
2021-07-30,11
2021-07-31,9
2021-08-01,8
2021-08-02,9
2021-08-03,11
2021-08-04,8
2021-08-05,15
2021-08-06,13
2021-08-07,10
2021-08-08,10
2021-08-09,13
2021-08-10,13
2021-08-11,10
2021-08-12,10
2021-08-13,9
2021-08-14,5
2021-08-15,5
2021-08-16,5
2021-08-17,7
2021-08-18,11
2021-08-19,13
2021-08-20,8
2021-08-21,12
2021-08-22,18
2021-08-23,21
2021-08-24,9
2021-08-25,11
2021-08-26,9
2021-08-27,4
2021-08-28,4
2021-08-29,6
2021-08-30,5
2021-08-31,5
2021-09-01,3
2021-09-02,4
2021-09-03,7
2021-09-04,7
2021-09-05,5
2021-09-06,5
2021-09-07,7
2021-09-08,10
2021-09-09,3
2021-09-10,5
2021-09-11,5
2021-09-12,6
2021-09-13,8
2021-09-14,7
2021-09-15,5
2021-09-16,4
2021-09-17,5
2021-09-18,7
2021-09-19,8
2021-09-20,6
2021-09-21,4
2021-09-22,3
2021-09-23,4
2021-09-24,6
2021-09-25,3
2021-09-26,3
2021-09-27,5
2021-09-28,7
2021-09-29,11
2021-09-30,17
2021-10-01,11
2021-10-02,12
2021-10-03,9
2021-10-04,14
2021-10-05,12
2021-10-06,7
2021-10-07,15
2021-10-08,20
2021-10-09,15
2021-10-10,14
2021-10-11,6
2021-10-12,9
2021-10-13,12
2021-10-14,7
2021-10-15,3
2021-10-16,4
2021-10-17,3
2021-10-18,5
2021-10-19,5
2021-10-20,13
2021-10-21,13
2021-10-22,4
2021-10-23,6
2021-10-24,10
2021-10-25,11
2021-10-26,20
2021-10-27,19
2021-10-28,19
2021-10-29,9
2021-10-30,11
2021-10-31,8
2021-11-01,8
2021-11-02,7
2021-11-03,11
2021-11-04,15
2021-11-05,22
2021-11-06,16
2021-11-07,20
2021-11-08,10
2021-11-09,7
2021-11-10,13
2021-11-11,19
2021-11-12,16
2021-11-13,23
2021-11-14,20
2021-11-15,23
2021-11-16,16
2021-11-17,10
2021-11-18,9
2021-11-19,14
2021-11-20,20
2021-11-21,21
2021-11-22,13
2021-11-23,5
2021-11-24,10
2021-11-25,15
2021-11-26,15
2021-11-27,20
2021-11-28,25
2021-11-29,21
2021-11-30,27
2021-12-01,32
2021-12-02,29
2021-12-03,30
2021-12-04,40
2021-12-05,47
2021-12-06,46
2021-12-07,43
2021-12-08,46
2021-12-09,31
2021-12-10,13
2021-12-11,24
2021-12-12,16
2021-12-13,27
2021-12-14,31
2021-12-15,43
2021-12-16,44
2021-12-17,32
2021-12-18,26
2021-12-19,29
2021-12-20,40
2021-12-21,45
2021-12-22,42
2021-12-23,36
2021-12-24,39
2021-12-25,18
2021-12-26,25
2021-12-27,11
2021-12-28,9
2021-12-29,14
2021-12-30,8
2021-12-31,9
2022-01-01,11
2022-01-02,13
2022-01-03,15
2022-01-04,23
2022-01-05,25
2022-01-06,34
2022-01-07,18
2022-01-08,22
2022-01-09,33
2022-01-10,45
2022-01-11,46
2022-01-12,30
2022-01-13,34
2022-01-14,19
2022-01-15,36
2022-01-16,37
2022-01-17,33
2022-01-18,13
2022-01-19,13
2022-01-20,17
2022-01-21,26
2022-01-22,31
2022-01-23,26
2022-01-24,34
2022-01-25,39
2022-01-26,37
2022-01-27,41
2022-01-28,48
2022-01-29,42
2022-01-30,38
2022-01-31,29
2022-02-01,16
2022-02-02,15
2022-02-03,17
2022-02-04,10
2022-02-05,13
2022-02-06,19
2022-02-07,37
2022-02-08,44
2022-02-09,49
2022-02-10,36
2022-02-11,49
2022-02-12,28
2022-02-13,37
2022-02-14,24
2022-02-15,14
2022-02-16,18
2022-02-17,14
2022-02-18,24
2022-02-19,20
2022-02-20,7
2022-02-21,5
2022-02-22,11
2022-02-23,16
2022-02-24,25
2022-02-25,23
